Date,Rt
2022-03-21,0.39
2021-04-24,0.51
2022-04-28,0.57
2021-04-22,0.61
2021-05-11,0.62
2022-02-25,3.03
2022-01-21,4.85
2021-05-13,null
2021-05-14,null
2021-05-15,null
2021-05-16,null
2021-05-17,null
2021-05-18,null
2021-05-19,null
2021-05-20,null
2021-05-21,null
2021-05-22,null
2021-05-23,null
2021-05-24,null
2021-05-25,null
2021-05-26,null
2021-05-27,null
2021-05-28,null
2021-05-29,null
2021-05-30,null
2021-05-31,null
2021-06-01,null
2021-06-02,null
2021-06-03,null
2021-06-04,null
2021-06-05,null
2021-06-06,null
2021-06-07,null
2021-06-08,null
2021-06-09,null
2021-06-10,null
2021-06-11,null
2021-06-12,null
2021-06-13,null
2021-06-14,null
2021-06-15,null
2021-06-16,null
2021-06-17,null
2021-06-18,null
2021-06-19,null
2021-06-20,null
2021-06-21,null
2021-06-22,null
2021-06-23,null
2021-06-24,null
2021-06-25,null
2021-06-26,null
2021-06-27,null
2021-06-28,null
2021-06-29,null
2021-06-30,null
2021-07-01,null
2021-07-02,null
2021-07-03,null
2021-07-04,null
2021-07-05,null
2021-07-06,null
2021-07-07,null
2021-07-08,null
2021-07-09,null
2021-07-10,null
2021-07-11,null
2021-07-12,null
2021-07-13,null
2021-07-14,null
2021-07-15,null
2021-07-16,null
2021-07-17,null
2021-07-18,null
2021-07-19,null
2021-07-20,null
2021-07-21,null
2021-07-22,null
2021-07-23,null
2021-07-24,null
2021-07-25,null
2021-07-26,null
2021-07-27,null
2021-07-28,null
2021-07-29,null
2021-07-30,null
2021-07-31,null
2021-08-01,null
2021-08-02,null
2021-08-03,null
2021-08-04,null
2021-08-05,null
2021-08-06,null
2021-08-07,null
2021-08-08,null
2021-08-09,null
2021-08-10,null
2021-08-11,null
2021-08-12,null
2021-08-13,null
2021-08-14,null
2021-08-15,null
2021-08-16,null
2021-08-17,null
2021-08-18,null
2021-08-19,null
2021-08-20,null
2021-08-21,null
2021-08-22,null
2021-08-23,null
2021-08-24,null
2021-08-25,null
2021-08-26,null
2021-08-27,null
2021-08-28,null
2021-08-29,null
2021-08-30,null
2021-08-31,null
2021-09-01,null
2021-09-02,null
2021-09-03,null
2021-09-04,null
2021-09-05,null
2021-09-06,null
2021-09-07,null
2021-09-08,null
2021-09-09,null
2021-09-10,null
2021-09-11,null
2021-09-12,null
2021-09-13,null
2021-09-14,null
2021-09-15,null
2021-09-16,null
2021-09-17,null
2021-09-18,null
2021-09-19,null
2021-09-20,null
2021-09-21,null
2021-09-22,null
2021-09-23,null
2021-09-24,null
2021-09-25,null
2021-09-26,null
2021-09-27,null
2021-09-28,null
2021-09-29,null
2021-09-30,null
2021-10-01,null
2021-10-02,null
2021-10-03,null
2021-10-04,null
2021-10-05,null
2021-10-06,null
2021-10-07,null
2021-10-08,null
2021-10-09,null
2021-10-10,null
2021-10-11,null
2021-10-12,null
2021-10-13,null
2021-10-14,null
2021-10-15,null
2021-10-16,null
2021-10-17,null
2021-10-18,null
2021-10-19,null
2021-10-20,null
2021-10-21,null
2021-10-22,null
2021-10-23,null
2021-10-24,null
2021-10-25,null
2021-10-26,null
2021-10-27,null
2021-10-28,null
2021-10-29,null
2021-10-30,null
2021-10-31,null
2021-11-01,null
2021-11-02,null
2021-11-03,null
2021-11-04,null
2021-11-05,null
2021-11-06,null
2021-11-07,null
2021-11-08,null
2021-11-09,null
2021-11-10,null
2021-11-11,null
2021-11-12,null
2021-11-13,null
2021-11-14,null
2021-11-15,null
2021-11-16,null
2021-11-17,null
2021-11-18,null
2021-11-19,null
2021-11-20,null
2021-11-21,null
2021-11-22,null
2021-11-23,null
2021-11-24,null
2021-11-25,null
2021-11-26,null
2021-11-27,null
2021-11-28,null
2021-11-29,null
2021-11-30,null
2021-12-01,null
2021-12-02,null
2021-12-03,null
2021-12-04,null
2021-12-05,null
2021-12-06,null
2021-12-07,null
2021-12-08,null
2021-12-09,null
2021-12-10,null
2021-12-11,null
2021-12-12,null
2021-12-13,null
2021-12-14,null
2021-12-15,null
2021-12-16,null
2021-12-17,null
2021-12-18,null
2021-12-19,null
2021-12-20,null
2021-12-21,null
2021-12-22,null
2021-12-23,null
2021-12-24,null
2021-12-25,null
2021-12-26,null
2021-12-27,null
2021-12-28,null
2021-12-29,null
2021-12-30,null
2021-12-31,null
2022-08-12,null
2022-08-13,null
2022-08-14,null
2022-08-15,null
2022-08-16,null
2022-08-17,null
2022-08-18,null
2020-04-12,0.055
2020-10-13,0.293
2020-06-12,0.318
2020-10-12,0.318
2020-10-22,0.321
2021-03-26,0.358
2020-04-30,0.362
2020-04-03,0.366
2020-04-01,0.412
2020-09-16,0.514
2021-04-30,0.524
2021-01-30,0.554
2022-04-30,0.567
2022-04-26,0.571
2022-04-27,0.571
2020-02-07,0.596
2020-08-12,0.604
2020-09-10,0.606
2021-03-30,0.632
2022-05-04,0.644
2020-08-02,0.655
2021-05-01,0.658
2020-08-01,0.673
2020-05-11,0.695
2020-12-28,0.716
2022-05-06,0.729
2020-09-26,0.749
2021-05-04,0.771
2022-03-06,0.803
2022-05-21,0.811
2022-05-22,0.821
2020-03-03,0.854
2020-09-27,0.862
2020-12-10,0.887
2022-05-15,0.899
2020-02-29,0.915
2020-10-27,0.961
2020-09-28,1.002
2021-02-21,1.019
2021-02-23,1.024
2021-02-22,1.042
2021-01-07,1.054
2022-05-27,1.094
2022-07-27,1.099
2022-01-11,1.115
2020-10-31,1.141
2022-07-25,1.142
2020-06-02,1.151
2020-10-29,1.158
2020-06-19,1.255
2021-01-16,1.258
2022-07-04,1.273
2022-06-25,1.334
2020-10-04,1.372
2020-10-01,1.402
2021-03-08,1.436
2020-03-20,1.477
2022-01-09,1.542
2020-07-16,1.657
2020-07-14,1.816
2020-05-26,2.099
2020-05-27,2.225
2020-11-12,2.691
2022-01-06,2.811
2022-02-18,3.248
2020-06-26,4.535
2020-04-13,0.0442
2020-04-14,0.0533
2020-04-15,0.0584
2020-04-16,0.0659
2020-04-17,0.0785
2020-04-11,0.0849
2020-04-18,0.0929
2020-04-10,0.1039
2020-04-19,0.1145
2020-04-09,0.1339
2020-04-20,0.1451
2020-04-21,0.1631
2020-04-08,0.1687
2020-06-08,0.1728
2020-06-09,0.1877
2020-04-22,0.2073
2020-04-07,0.2114
2020-06-10,0.2207
2020-06-07,0.2326
2020-04-23,0.2419
2020-06-11,0.2556
2021-03-23,0.2564
2021-03-24,0.2603
2020-04-06,0.2621
2021-03-22,0.2622
2021-03-21,0.2686
2021-03-20,0.2746
2020-04-24,0.2785
2021-03-25,0.2901
2021-03-19,0.2994
2021-04-28,0.3025
2020-10-14,0.3034
2021-04-27,0.3055
2020-10-21,0.3078
2020-04-25,0.3087
2020-04-05,0.3122
2020-10-15,0.3163
2020-10-20,0.3196
2020-10-16,0.3299
2020-10-19,0.3318
2020-04-27,0.3321
2021-03-18,0.3334
2020-10-17,0.3337
2020-04-04,0.3375
2020-05-01,0.3385
2020-04-26,0.3405
2020-06-06,0.3459
2020-04-28,0.3471
2020-10-18,0.3476
2020-04-29,0.3499
2021-03-17,0.3607
2021-04-26,0.3613
2020-10-23,0.3655
2022-03-18,0.3657
2022-03-19,0.3672
2022-03-17,0.3677
2022-03-16,0.3707
2020-10-11,0.3725
2022-03-20,0.3749
2022-03-15,0.3761
2020-06-13,0.3835
2020-05-02,0.3847
2022-03-14,0.3849
2020-04-02,0.3893
2022-04-12,0.3915
2022-04-13,0.3923
2022-04-11,0.3931
2022-04-14,0.3974
2022-04-10,0.3987
2022-03-13,0.3988
2022-04-15,0.4021
2022-04-09,0.4068
2021-03-27,0.4069
2022-04-16,0.4072
2021-03-16,0.4118
2022-03-22,0.4135
2022-04-08,0.4153
2022-04-17,0.4165
2022-03-12,0.4179
2021-04-29,0.4208
2022-04-07,0.4247
2020-05-16,0.4252
2021-04-25,0.4276
2022-04-18,0.4316
2020-08-22,0.4333
2020-03-31,0.4342
2020-08-21,0.4344
2020-05-03,0.4351
2020-08-23,0.4361
2022-04-06,0.4365
2022-03-11,0.4375
2020-08-24,0.4434
2022-03-23,0.4439
2020-08-20,0.4472
2022-04-05,0.4492
2020-05-15,0.4501
2022-04-19,0.4505
2020-05-04,0.4528
2020-08-25,0.4575
2020-05-17,0.4578
2020-06-14,0.4623
2020-03-30,0.4639
2022-04-04,0.4662
2020-10-24,0.4665
2022-03-10,0.4669
2020-08-26,0.4697
2020-08-19,0.4704
2022-03-24,0.4739
2022-04-20,0.4747
2022-04-03,0.4823
2020-10-10,0.4843
2020-06-05,0.4849
2020-08-27,0.4864
2020-08-18,0.4913
2021-03-28,0.4923
2021-03-15,0.4978
2022-04-21,0.4986
2022-04-02,0.5005
2020-08-28,0.5053
2022-03-25,0.5053
2022-03-09,0.5079
2020-08-17,0.5164
2020-02-17,0.5167
2022-04-01,0.5174
2020-05-18,0.5176
2020-03-29,0.5212
2022-04-22,0.5219
2020-05-05,0.5221
2021-05-08,0.5223
2020-09-15,0.5232
2020-02-16,0.5272
2022-03-26,0.5291
2021-05-07,0.5293
2022-03-31,0.5298
2020-09-21,0.5326
2020-02-18,0.5332
2020-09-17,0.5365
2020-09-20,0.5367
2020-09-14,0.5391
2020-09-22,0.5396
2020-09-19,0.5407
2021-02-10,0.5408
2022-03-30,0.5409
2020-02-19,0.5414
2022-04-23,0.5414
2021-02-11,0.5419
2020-02-13,0.5423
2022-03-27,0.5426
2020-02-14,0.5431
2020-09-18,0.5435
2020-08-16,0.5442
2022-03-29,0.5461
2020-02-15,0.5465
2021-02-12,0.5466
2022-03-28,0.5483
2021-02-09,0.5504
2020-08-29,0.5513
2021-02-08,0.5533
2020-08-31,0.5537
2021-01-29,0.5537
2021-01-28,0.5546
2020-02-12,0.5548
2022-04-24,0.5585
2020-08-30,0.5589
2020-09-13,0.5612
2020-08-15,0.5647
2021-01-31,0.5647
2021-02-13,0.5652
2021-04-23,0.5653
2020-06-15,0.5655
2020-05-06,0.5658
2021-02-07,0.5658
2022-04-25,0.5665
2021-03-29,0.5685
2022-04-29,0.5694
2021-05-10,0.5695
2022-03-08,0.5704
2022-05-01,0.5704
2020-02-08,0.5714
2020-02-20,0.5727
2021-05-09,0.5749
2020-09-12,0.5774
2021-01-27,0.5788
2020-09-23,0.5791
2020-08-14,0.5837
2022-05-02,0.5847
2020-09-06,0.5849
2020-09-07,0.5854
2020-02-11,0.5855
2020-02-09,0.5875
2020-09-01,0.5881
2021-02-06,0.5885
2020-02-21,0.5891
2020-09-08,0.5901
2021-02-01,0.5911
2020-09-11,0.5916
2020-09-05,0.5931
2021-02-14,0.5934
2020-09-02,0.5942
2020-08-13,0.5955
2021-02-03,0.5973
2020-03-28,0.5979
2021-05-12,0.6003
2020-09-03,0.6014
2020-09-24,0.6028
2020-10-25,0.6043
2020-09-09,0.6056
2020-09-04,0.6058
2020-02-10,0.6063
2020-05-14,0.6071
2020-08-10,0.6072
2020-08-11,0.6079
2020-08-09,0.6087
2022-05-03,0.6087
2021-02-05,0.6098
2021-02-02,0.6129
2020-08-08,0.6135
2021-01-26,0.6148
2021-02-04,0.6148
2021-03-14,0.6154
2020-08-07,0.6201
2020-10-09,0.6221
2020-05-13,0.6223
2020-08-06,0.6247
2020-05-19,0.6318
2021-02-15,0.6318
2020-02-06,0.6334
2020-02-22,0.6339
2020-08-05,0.6339
2020-08-04,0.6386
2020-08-03,0.6447
2020-09-25,0.6507
2020-05-12,0.6528
2021-05-06,0.6539
2020-05-07,0.6563
2020-06-16,0.6586
2021-01-25,0.6597
2022-03-07,0.6681
2020-06-04,0.6701
2021-04-21,0.6712
2020-02-05,0.6785
2022-05-05,0.6848
2020-02-23,0.6854
2020-03-27,0.6908
2021-04-20,0.6933
2020-05-20,0.6941
2020-07-31,0.7034
2020-12-29,0.7108
2021-05-05,0.7121
2020-05-08,0.7125
2021-04-19,0.7146
2021-04-18,0.7154
2021-01-24,0.7168
2021-04-01,0.7236
2020-12-30,0.7252
2021-04-17,0.7291
2021-04-05,0.7297
2021-03-31,0.7302
2021-04-04,0.7347
2020-12-27,0.7368
2020-05-10,0.7382
2020-05-21,0.7398
2020-05-09,0.7402
2020-02-24,0.7404
2020-12-31,0.7408
2021-04-03,0.7422
2020-07-30,0.7465
2021-02-16,0.7468
2020-12-26,0.7495
2020-02-04,0.7504
2021-04-02,0.7508
2021-04-16,0.7522
2021-04-06,0.7531
2021-01-01,0.7578
2020-12-25,0.7597
2020-06-17,0.7634
2021-01-23,0.7672
2021-04-15,0.7678
2020-12-19,0.7701
2020-12-23,0.7703
2020-10-26,0.7725
2020-12-20,0.7741
2020-12-22,0.7741
2020-10-08,0.7745
2020-12-18,0.7745
2020-12-24,0.7752
2022-05-07,0.7771
2021-02-17,0.7778
2020-12-21,0.7804
2021-03-13,0.7816
2021-02-28,0.7853
2020-03-05,0.7875
2021-01-02,0.7876
2020-03-04,0.7886
2020-03-06,0.7928
2020-12-17,0.7937
2020-07-29,0.7948
2021-04-07,0.7974
2020-12-16,0.7985
2021-05-02,0.8039
2021-05-03,0.8069
2021-04-10,0.8091
2020-03-26,0.8093
2021-02-27,0.8113
2022-05-08,0.8119
2021-04-14,0.8124
2021-04-11,0.8137
2020-02-25,0.8163
2020-03-07,0.8165
2022-05-20,0.8169
2020-12-15,0.8179
2021-04-13,0.8225
2021-04-09,0.8231
2021-03-01,0.8248
2021-04-08,0.8264
2021-01-22,0.8279
2022-05-19,0.8286
2020-12-14,0.8315
2021-04-12,0.8343
2020-12-13,0.8398
2021-01-03,0.8425
2022-05-09,0.8454
2022-05-23,0.8477
2022-05-18,0.8485
2021-02-26,0.8549
2020-07-28,0.8551
2021-03-02,0.8556
2020-12-12,0.8566
2020-02-03,0.8592
2020-03-08,0.8648
2022-05-10,0.8676
2022-05-17,0.8686
2020-03-02,0.8692
2020-06-03,0.8702
2020-12-11,0.8718
2020-02-26,0.8805
2022-05-16,0.8815
2022-05-11,0.8863
2021-01-04,0.8887
2021-02-18,0.8894
2020-03-09,0.8927
2022-05-24,0.8929
2020-03-01,0.8946
2020-12-09,0.8985
2020-05-22,0.8997
2022-05-12,0.9001
2022-05-14,0.9065
2021-02-25,0.9067
2021-01-21,0.9084
2022-05-13,0.9084
2020-06-18,0.9092
2020-12-08,0.9122
2020-07-27,0.9217
2021-02-19,0.9275
2021-03-03,0.9282
2020-12-07,0.9284
2022-08-04,0.9297
2022-08-03,0.9342
2022-08-05,0.9381
2020-10-07,0.9395
2020-02-27,0.9427
2021-01-05,0.9434
2020-03-25,0.9461
2022-08-02,0.9462
2021-03-12,0.9476
2020-12-06,0.9479
2020-03-10,0.9488
2022-05-25,0.9521
2022-08-06,0.9524
2020-02-28,0.9528
2022-08-01,0.9632
2020-12-05,0.9708
2022-08-07,0.9713
2022-03-05,0.9767
2021-02-24,0.9769
2022-07-31,0.9856
2021-01-20,0.9887
2021-01-06,0.9946
2020-03-11,0.9974
2020-07-26,0.9986
2020-12-04,0.9992
2022-08-08,1.0012
2022-07-30,1.0114
2021-02-20,1.0118
2022-05-26,1.0179
2021-03-04,1.0247
2020-02-02,1.0281
2020-12-03,1.0307
2022-07-29,1.0424
2022-08-09,1.0464
2020-12-02,1.0593
2021-01-19,1.0598
2022-01-12,1.0697
2022-07-28,1.0726
2020-07-25,1.0771
2020-10-06,1.0842
2020-03-24,1.0856
2020-03-12,1.0939
2020-12-01,1.0958
2020-10-28,1.0976
2022-08-10,1.1166
2022-07-26,1.1237
2021-01-18,1.1282
2022-07-01,1.1283
2022-06-30,1.1289
2021-01-08,1.1291
2020-11-01,1.1298
2021-03-11,1.1298
2022-07-19,1.1396
2020-11-02,1.1413
2020-11-30,1.1426
2022-07-20,1.1427
2022-07-21,1.1442
2020-09-29,1.1447
2022-07-18,1.1468
2022-07-02,1.1511
2020-07-24,1.1518
2022-07-22,1.1521
2022-07-24,1.1529
2022-07-23,1.1544
2020-10-30,1.1552
2021-03-05,1.1594
2022-07-17,1.1628
2022-01-13,1.1714
2022-06-29,1.1724
2020-11-03,1.1777
2022-05-28,1.1785
2021-01-09,1.1803
2022-07-16,1.1821
2022-03-04,1.1846
2020-03-13,1.1911
2020-11-29,1.1973
2022-07-03,1.2048
2022-06-28,1.2062
2022-08-11,1.2073
2022-07-15,1.2136
2020-07-23,1.2183
2021-01-17,1.2195
2020-05-23,1.2199
2020-03-23,1.2232
2020-02-01,1.2235
2020-10-05,1.2398
2022-01-10,1.2401
2022-06-27,1.2493
2021-01-10,1.2494
2020-09-30,1.2531
2020-11-04,1.2595
2021-03-10,1.2628
2022-07-14,1.2631
2020-11-28,1.2656
2022-05-29,1.2698
2020-07-22,1.2787
2022-06-26,1.2936
2021-01-11,1.2966
2021-03-06,1.3001
2020-03-14,1.3079
2021-01-15,1.3152
2022-07-13,1.3173
2020-03-22,1.3249
2020-07-21,1.3309
2021-01-13,1.3403
2021-01-12,1.3419
2021-01-14,1.3497
2020-11-27,1.3502
2022-05-30,1.3545
2022-07-05,1.3582
2020-03-15,1.3673
2022-06-24,1.3695
2021-03-09,1.3737
2022-07-12,1.3765
2021-03-07,1.3808
2020-07-20,1.3913
2022-06-23,1.3986
2020-11-05,1.4043
2022-06-22,1.4147
2020-03-21,1.4189
2020-01-31,1.4195
2020-03-16,1.4208
2022-06-21,1.4238
2022-06-20,1.4251
2022-05-31,1.4257
2022-01-14,1.4264
2022-07-11,1.4315
2022-07-06,1.4332
2022-03-03,1.4361
2020-06-01,1.4464
2020-10-03,1.4503
2020-11-26,1.4506
2022-06-19,1.4534
2020-07-19,1.4608
2022-06-18,1.4611
2020-03-17,1.4658
2022-01-29,1.4676
2020-10-02,1.4715
2022-06-01,1.4816
2022-07-10,1.4816
2022-07-07,1.4962
2022-06-17,1.4972
2020-03-19,1.5116
2020-03-18,1.5185
2022-07-09,1.5193
2022-01-28,1.5194
2020-07-18,1.5238
2022-07-08,1.5242
2022-06-16,1.5253
2022-06-02,1.5407
2022-01-30,1.5598
2022-06-15,1.5755
2020-11-25,1.5826
2020-07-17,1.5847
2020-11-06,1.5888
2022-06-03,1.6075
2020-01-30,1.6141
2022-06-14,1.6326
2020-05-24,1.6566
2022-06-04,1.6787
2022-06-13,1.6904
2022-01-27,1.6989
2020-05-31,1.7209
2022-03-02,1.7272
2022-06-12,1.7307
2020-11-24,1.7324
2020-07-15,1.7386
2022-06-05,1.7423
2022-06-11,1.7756
2022-01-31,1.7917
2022-06-06,1.8001
2022-06-10,1.8035
2020-11-07,1.8051
2020-01-29,1.8069
2022-06-07,1.8283
2022-01-08,1.8341
2022-06-09,1.8358
2022-06-08,1.8478
2020-07-13,1.9004
2022-01-15,1.9013
2020-11-23,1.9282
2020-05-30,1.9571
2020-05-25,1.9731
2022-01-26,1.9821
2020-07-12,1.9954
2020-01-28,2.0062
2020-11-08,2.0203
2022-03-01,2.0406
2020-07-11,2.0953
2020-11-22,2.1284
2022-02-01,2.1411
2020-01-27,2.1611
2020-05-29,2.1704
2020-11-09,2.1979
2022-01-07,2.2352
2020-05-28,2.2394
2020-07-10,2.2411
2020-01-26,2.2883
2022-02-28,2.3381
2020-06-20,2.3435
2020-11-21,2.3457
2020-11-10,2.3577
2022-01-25,2.3871
2020-01-25,2.3968
2020-07-09,2.4002
2020-01-24,2.4679
2020-11-11,2.5218
2022-02-02,2.5399
2020-11-20,2.5632
2022-01-16,2.5907
2020-07-08,2.6031
2022-02-27,2.6328
2020-11-19,2.7344
2020-07-07,2.8304
2020-11-13,2.8488
2022-02-26,2.8549
2022-01-24,2.8923
2020-11-18,2.9208
2020-06-21,2.9437
2020-11-14,2.9483
2020-11-17,2.9835
2022-02-03,3.0011
2020-11-16,3.0147
2020-11-15,3.0149
2020-07-06,3.0817
2022-02-24,3.1402
2022-02-21,3.1652
2022-02-22,3.1735
2022-02-23,3.1767
2022-02-20,3.1832
2022-02-19,3.2225
2022-02-17,3.2739
2022-02-12,3.2892
2022-02-13,3.2991
2022-02-16,3.3025
2022-02-11,3.3355
2022-02-15,3.3408
2022-02-14,3.3424
2020-07-05,3.3524
2022-02-04,3.4305
2022-02-10,3.4316
2022-01-17,3.4343
2022-01-05,3.4642
2022-01-23,3.5083
2022-02-09,3.5334
2020-07-04,3.6066
2022-02-08,3.6606
2022-02-05,3.7151
2020-06-22,3.7817
2022-02-07,3.7929
2022-02-06,3.8189
2020-07-03,3.8457
2020-07-02,4.0307
2022-01-04,4.0758
2020-07-01,4.1532
2020-06-23,4.1999
2022-01-22,4.2168
2020-06-30,4.2395
2022-01-18,4.3456
2020-06-24,4.3496
2020-06-29,4.3798
2020-06-25,4.4791
2020-06-28,4.4876
2020-06-27,4.5146
2022-01-03,4.7161
2022-01-19,5.0528
2022-01-20,5.2003
2022-01-02,5.5085
2022-01-01,6.2734
