As_of_date,As_of_time,Number_of_confirmed_cases,Number_of_ruled_out_cases,Number_of_cases_still_hospitalised_for_investigation,Number_of_cases_fulfilling_the_reporting_criteria,Number_of_death_cases,Number_of_discharge_cases,Number_of_probable_cases,Number_of_hospitalised_cases_in_critical_condition,Number_of_positive_case_NC,Number_of_positive_case_RAT
2021-05-06,"",11798,,,,210,11468,1,3,,
2021-05-07,"",11801,,,,210,11473,1,3,,
2021-05-08,"",11806,,,,210,11486,1,3,,
2021-05-09,"",11807,,,,210,11493,1,3,,
2021-05-10,"",11811,,,,210,11496,1,2,,
2021-05-11,"",11812,,,,210,11503,1,2,,
2021-05-12,"",11814,,,,210,11505,1,2,,
2021-05-13,"",11817,,,,210,11511,1,2,,
2021-05-14,"",11818,,,,210,11516,1,2,,
2021-05-15,"",11821,,,,210,11522,1,2,,
2021-05-16,"",11824,,,,210,11525,1,2,,
2021-05-17,"",11825,,,,210,11531,1,2,,
2021-05-18,"",11826,,,,210,11535,1,2,,
2021-05-19,"",11827,,,,210,11539,1,2,,
2021-05-20,"",11828,,,,210,11542,1,2,,
2021-05-21,"",11829,,,,210,11547,1,2,,
2021-05-22,"",11830,,,,210,11550,1,2,,
2021-05-23,"",11832,,,,210,11553,1,2,,
2021-05-24,"",11833,,,,210,11556,1,1,,
2021-05-25,"",11835,,,,210,11560,1,1,,
2021-05-26,"",11836,,,,210,11561,1,1,,
2021-05-27,"",11836,,,,210,11565,1,1,,
2021-05-28,"",11836,,,,210,11570,1,1,,
2021-05-29,"",11837,,,,210,11571,1,1,,
2021-05-30,"",11837,,,,210,11572,1,1,,
2021-05-31,"",11841,,,,210,11572,1,1,,
2021-06-01,"",11848,,,,210,11574,1,1,,
2021-06-02,"",11848,,,,210,11576,1,1,,
2021-06-03,"",11849,,,,210,11577,1,1,,
2021-06-04,"",11850,,,,210,11579,1,1,,
2021-06-05,"",11851,,,,210,11584,1,1,,
2021-06-06,"",11858,,,,210,11584,1,1,,
2021-06-07,"",11865,,,,210,11584,1,1,,
2021-06-08,"",11868,,,,210,11584,1,1,,
2021-06-09,"",11872,,,,210,11587,1,1,,
2021-06-10,"",11874,,,,210,11590,1,1,,
2021-06-11,"",11874,,,,210,11593,1,1,,
2021-06-12,"",11877,,,,210,11595,1,1,,
2021-06-13,"",11877,,,,210,11598,1,1,,
2021-06-14,"",11878,,,,210,11600,1,1,,
2021-06-15,"",11880,,,,210,11600,1,1,,
2021-06-16,"",11881,,,,210,11601,1,1,,
2021-06-17,"",11881,,,,210,11603,1,1,,
2021-06-18,"",11884,,,,210,11608,1,1,,
2021-06-19,"",11885,,,,210,11612,1,1,,
2021-06-20,"",11886,,,,210,11614,1,1,,
2021-06-21,"",11889,,,,210,11616,1,1,,
2021-06-22,"",11896,,,,210,11618,1,1,,
2021-06-23,"",11898,,,,210,11619,1,1,,
2021-06-24,"",11905,,,,210,11621,1,1,,
2021-06-25,"",11909,,,,211,11621,1,1,,
2021-06-26,"",11911,,,,211,11624,1,1,,
2021-06-27,"",11917,,,,211,11625,1,1,,
2021-06-28,"",11920,,,,211,11626,1,1,,
2021-06-29,"",11921,,,,211,11628,1,1,,
2021-06-30,"",11923,,,,211,11630,1,1,,
2021-07-01,"",11927,,,,211,11631,1,1,,
2021-07-02,"",11938,,,,211,11633,1,1,,
2021-07-03,"",11939,,,,211,11634,1,1,,
2021-07-04,"",11942,,,,211,11637,1,1,,
2021-07-05,"",11943,,,,212,11638,1,0,,
2021-07-06,"",11944,,,,212,11642,1,0,,
2021-07-07,"",11945,,,,212,11643,1,0,,
2021-07-08,"",11948,,,,212,11648,1,0,,
2021-07-09,"",11949,,,,212,11648,1,0,,
2021-07-10,"",11950,,,,212,11652,1,0,,
2021-07-11,"",11951,,,,212,11655,1,0,,
2021-07-12,"",11951,,,,212,11662,1,0,,
2021-07-13,"",11952,,,,212,11665,1,0,,
2021-07-14,"",11955,,,,212,11669,1,0,,
2021-07-15,"",11955,,,,212,11675,1,0,,
2021-07-16,"",11956,,,,212,11677,1,0,,
2021-07-17,"",11956,,,,212,11682,1,0,,
2021-07-18,"",11958,,,,212,11682,1,0,,
2021-07-19,"",11958,,,,212,11686,1,0,,
2021-07-20,"",11965,,,,212,11688,1,0,,
2021-07-21,"",11970,,,,212,11688,1,0,,
2021-07-22,"",11971,,,,212,11690,1,0,,
2021-07-23,"",11973,,,,212,11693,1,0,,
2021-07-24,"",11975,,,,212,11696,1,1,,
2021-07-25,"",11978,,,,212,11698,1,1,,
2021-07-26,"",11978,,,,212,11701,1,1,,
2021-07-27,"",11979,,,,212,11705,1,1,,
2021-07-28,"",11980,,,,212,11707,1,0,,
2021-07-29,"",11982,,,,212,11709,1,0,,
2021-07-30,"",11984,,,,212,11712,1,0,,
2021-07-31,"",11984,,,,212,11713,1,0,,
2021-08-01,"",11987,,,,212,11715,1,0,,
2021-08-02,"",11990,,,,212,11715,1,0,,
2021-08-03,"",11994,,,,212,11719,1,0,,
2021-08-04,"",11996,,,,212,11721,1,0,,
2021-08-05,"",12002,,,,212,11721,1,0,,
2021-08-06,"",12004,,,,212,11724,1,0,,
2021-08-07,"",12011,,,,212,11725,1,0,,
2021-08-08,"",12013,,,,212,11725,1,0,,
2021-08-09,"",12015,,,,212,11725,1,0,,
2021-08-10,"",12019,,,,212,11728,1,0,,
2021-08-11,"",12020,,,,212,11731,1,0,,
2021-08-12,"",12025,,,,212,11733,1,0,,
2021-08-13,"",12030,,,,212,11736,1,0,,
2021-08-14,"",12032,,,,212,11740,1,0,,
2021-08-15,"",12033,,,,212,11748,1,0,,
2021-08-16,"",12036,,,,212,11750,1,0,,
2021-08-17,"",12039,,,,212,11753,1,0,,
2021-08-18,"",12042,,,,212,11755,1,0,,
2021-08-19,"",12047,,,,212,11759,1,0,,
2021-08-20,"",12049,,,,212,11761,1,0,,
2021-08-21,"",12052,,,,212,11762,1,0,,
2021-08-22,"",12057,,,,212,11766,1,0,,
2021-08-23,"",12062,,,,212,11766,1,0,,
2021-08-24,"",12069,,,,212,11768,1,0,,
2021-08-25,"",12074,,,,212,11772,1,0,,
2021-08-26,"",12077,,,,212,11777,1,0,,
2021-08-27,"",12094,,,,212,11779,1,0,,
2021-08-28,"",12100,,,,212,11782,1,0,,
2021-08-29,"",12107,,,,212,11783,1,0,,
2021-08-30,"",12110,,,,212,11786,1,0,,
2021-08-31,"",12112,,,,212,11791,1,0,,
2021-09-01,"",12113,,,,212,11798,1,0,,
2021-09-02,"",12113,,,,212,11799,1,0,,
2021-09-03,"",12112,,,,212,11798,1,0,,
2021-09-04,"",12113,,,,212,11802,1,0,,
2021-09-05,"",12121,,,,212,11814,1,0,,
2021-09-06,"",12123,,,,212,11821,1,0,,
2021-09-07,"",12129,,,,212,11825,1,0,,
2021-09-08,"",12131,,,,212,11831,1,0,,
2021-09-09,"",12133,,,,212,11834,1,0,,
2021-09-10,"",12138,,,,212,11838,1,0,,
2021-09-11,"",12142,,,,212,11841,1,0,,
2021-09-12,"",12145,,,,212,11846,1,0,,
2021-09-13,"",12146,,,,213,11850,1,0,,
2021-09-14,"",12148,,,,213,11854,1,0,,
2021-09-15,"",12149,,,,213,11858,1,0,,
2021-09-16,"",12149,,,,213,11862,1,0,,
2021-09-17,"",12152,,,,213,11867,1,0,,
2021-09-18,"",12157,,,,213,11869,1,0,,
2021-09-19,"",12160,,,,213,11872,1,0,,
2021-09-20,"",12165,,,,213,11874,1,0,,
2021-09-21,"",12166,,,,213,11878,1,0,,
2021-09-22,"",12167,,,,213,11878,1,0,,
2021-09-23,"",12169,,,,213,11887,1,0,,
2021-09-24,"",12176,,,,213,11888,1,0,,
2021-09-25,"",12185,,,,213,11891,1,0,,
2021-09-26,"",12193,,,,213,11892,1,0,,
2021-09-27,"",12196,,,,213,11897,1,0,,
2021-09-28,"",12209,,,,213,11901,1,0,,
2021-09-29,"",12214,,,,213,11905,1,0,,
2021-09-30,"",12217,,,,213,11905,1,0,,
2021-10-01,"",12221,,,,213,11906,1,0,,
2021-10-02,"",12226,,,,213,11909,1,0,,
2021-10-03,"",12226,,,,213,11920,1,0,,
2021-10-04,"",12230,,,,213,11926,1,0,,
2021-10-05,"",12237,,,,213,11931,1,0,,
2021-10-06,"",12243,,,,213,11935,1,0,,
2021-10-07,"",12251,,,,213,11942,1,0,,
2021-10-08,"",12253,,,,213,11945,1,0,,
2021-10-09,"",12230,,,,213,11926,1,0,,
2021-10-10,"",12261,,,,213,11947,1,0,,
2021-10-11,"",12268,,,,213,11953,1,0,,
2021-10-12,"",12272,,,,213,11956,1,0,,
2021-10-13,"",12275,,,,213,11962,1,0,,
2021-10-14,"",12276,,,,213,11971,1,0,,
2021-10-15,"",12285,,,,213,11980,1,0,,
2021-10-16,"",12291,,,,213,11988,1,0,,
2021-10-17,"",12294,,,,213,11992,1,0,,
2021-10-18,"",12299,,,,213,11994,1,0,,
2021-10-19,"",12301,,,,213,11998,1,0,,
2021-10-20,"",12305,,,,213,12003,1,0,,
2021-10-21,"",12311,,,,213,12006,1,0,,
2021-10-22,"",12313,,,,213,12012,1,0,,
2021-10-23,"",12319,,,,213,12016,1,0,,
2021-10-24,"",12323,,,,213,12019,1,0,,
2021-10-25,"",12327,,,,213,12023,1,0,,
2021-10-26,"",12330,,,,213,12029,1,0,,
2021-10-27,"",12335,,,,213,12033,1,0,,
2021-10-28,"",12337,,,,213,12033,1,0,,
2021-10-29,"",12342,,,,213,12033,1,0,,
2021-10-30,"",12345,,,,213,12034,1,0,,
2021-10-31,"",12346,,,,213,12034,1,0,,
2021-11-01,"",12347,,,,213,12034,1,0,,
2021-11-02,"",12349,,,,213,12034,1,0,,
2021-11-03,"",12352,,,,213,12034,1,0,,
2021-11-04,"",12359,,,,213,12035,1,0,,
2021-11-05,"",12360,,,,213,12035,1,0,,
2021-11-06,"",12367,,,,213,12036,1,0,,
2021-11-07,"",12368,,,,213,12036,1,0,,
2021-11-08,"",12368,,,,213,12036,1,0,,
2021-11-09,"",12369,,,,213,12036,1,0,,
2021-11-10,"",12374,,,,213,12036,1,0,,
2021-11-11,"",12377,,,,213,12037,1,0,,
2021-11-12,"",12378,,,,213,12072,1,0,,
2021-11-13,"",12380,,,,213,12087,1,0,,
2021-11-14,"",12381,,,,213,12090,1,0,,
2021-11-15,"",12387,,,,213,12092,1,0,,
2021-11-16,"",12388,,,,213,12099,1,0,,
2021-11-17,"",12391,,,,213,12099,1,0,,
2021-11-18,"",12395,,,,213,12104,1,0,,
2021-11-19,"",12396,,,,213,12106,1,0,,
2021-11-20,"",12399,,,,213,12108,1,0,,
2021-11-21,"",12401,,,,213,12115,1,0,,
2021-11-22,"",12404,,,,213,12119,1,0,,
2021-11-23,"",12410,,,,213,12121,1,0,,
2021-11-24,"",12411,,,,213,12123,1,0,,
2021-11-25,"",12417,,,,213,12125,1,0,,
2021-11-26,"",12421,,,,213,12128,1,0,,
2021-11-27,"",12424,,,,213,12130,1,0,,
2021-11-28,"",12427,,,,213,12133,1,0,,
2021-11-29,"",12430,,,,213,12134,1,0,,
2021-11-30,"",12436,,,,213,12136,1,0,,
2021-12-01,"",12439,,,,213,12140,1,0,,
2021-12-02,"",12445,,,,213,12143,1,0,,
2021-12-03,"",12448,,,,213,12145,1,0,,
2021-12-04,"",12452,,,,213,12148,1,0,,
2021-12-05,"",12461,,,,213,12149,1,1,,
2021-12-06,"",12466,,,,213,12151,1,1,,
2021-12-07,"",12471,,,,213,12153,1,0,,
2021-12-08,"",12471,,,,213,12155,1,0,,
2021-12-09,"",12478,,,,213,12156,1,0,,
2021-12-10,"",12482,,,,213,12159,1,0,,
2021-12-11,"",12483,,,,213,12165,1,0,,
2021-12-12,"",12488,,,,213,12168,1,0,,
2021-12-13,"",12490,,,,213,12173,1,0,,
2021-12-14,"",12495,,,,213,12180,1,0,,
2021-12-15,"",12496,,,,213,12180,1,0,,
2021-12-16,"",12506,,,,213,12180,1,0,,
2021-12-17,"",12513,,,,213,12180,1,0,,
2021-12-18,"",12518,,,,213,12182,1,0,,
2021-12-19,"",12526,,,,213,12184,1,0,,
2021-12-20,"",12533,,,,213,12184,1,0,,
2021-12-21,"",12541,,,,213,12184,1,0,,
2021-12-22,"",12548,,,,213,12184,1,0,,
2021-12-23,"",12550,,,,213,12186,1,0,,
2021-12-24,"",12555,,,,213,12189,1,0,,
2021-12-25,"",12580,,,,213,12189,1,0,,
2021-12-26,"",12589,,,,213,12189,1,0,,
2021-12-27,"",12598,,,,213,12189,1,0,,
2021-12-28,"",12604,,,,213,12189,1,0,,
2021-12-29,"",12618,,,,213,12191,1,0,,
2021-12-30,"",12630,,,,213,12196,1,0,,
2021-12-31,"",12649,,,,213,12206,1,0,,
2022-01-01,"",,,,,213,12209,,0,12667,
2022-01-02,"",,,,,213,12214,,0,12693,
2022-01-03,"",,,,,213,12219,,0,12722,
2022-01-04,"",,,,,213,12228,,0,12761,
2022-01-05,"",,,,,213,12230,,0,12799,
2022-01-06,"",,,,,213,12235,,0,12832,
2022-01-07,"",,,,,213,12235,,0,12865,
2022-01-08,"",,,,,213,12243,,0,12902,
2022-01-09,"",,,,,213,12284,,0,12935,
2022-01-10,"",,,,,213,12296,,0,12959,
2022-01-11,"",,,,,213,12304,,0,12980,
2022-01-12,"",,,,,213,12316,,0,13002,
2022-01-13,"",,,,,213,12327,,0,13016,
2022-01-14,"",,,,,213,12339,,0,13025,
2022-01-15,"",,,,,213,12366,,0,13030,
2022-01-16,"",,,,,213,12393,,0,13041,
2022-01-17,"",,,,,213,12416,,0,13048,
2022-01-18,"",,,,,213,12446,,0,13066,
2022-01-19,"",,,,,213,12474,,0,13082,
2022-01-20,"",,,,,213,12493,,0,13096,
2022-01-21,"",,,,,213,12514,,0,13120,
2022-01-22,"",,,,,213,12541,,0,13146,
2022-01-23,"",,,,,213,12572,,0,13286,
2022-01-24,"",,,,,213,12602,,0,13395,
2022-01-25,"",,,,,213,12623,,0,13519,
2022-01-26,"",,,,,213,12655,,0,13626,
2022-01-27,"",,,,,213,12687,,0,13790,
2022-01-28,"",,,,,213,12710,,0,13905,
2022-01-29,"",,,,,213,12730,,0,14024,
2022-01-30,"",,,,,213,12752,,0,14105,
2022-01-31,"",,,,,213,12780,,0,14197,
2022-02-01,"",,,,,213,12806,,0,14326,
2022-02-02,"",,,,,213,12826,,1,14442,
2022-02-03,"",,,,,213,12880,,1,14584,
2022-02-04,"",,,,,213,12916,,1,14715,
2022-02-05,"",,,,,213,12987,,1,15066,
2022-02-06,"",,,,,213,13125,,1,15408,
2022-02-07,"",,,,,213,13232,,1,16022,
2022-02-08,"",,,,,213,13315,,2,16647,
2022-02-09,"",,,,,215,13436,,2,17808,
2022-02-10,"",,,,,216,13795,,1,18794,
2022-02-11,"",,,,,216,14037,,2,20119,
2022-02-12,"",,,,,219,14183,,3,21633,
2022-02-13,"",,,,,219,,,4,22980,
2022-02-14,"",,,,,221,,,8,25051,
2022-02-15,"",,,,,224,,,8,26670,
2022-02-16,"",,,,,227,,,16,30955,
2022-02-17,"",,,,,238,,,0,37071,
2022-02-18,"",,,,,259,,,16,40700,
2022-02-19,"",,,,,276,,,16,46763,
2022-02-20,"",,,,,288,,,16,52830,
2022-02-21,"",,,,,300,,,16,60363,
2022-02-22,"",,,,,336,,,16,66574,
2022-02-23,"",,,,,385,,,16,75248,
2022-02-24,"",,,,,425,,,16,84046,
2022-02-25,"",,,,,497,,,16,94056,
2022-02-26,"",,,,,577,,,16,138955,29635
2022-02-27,"",,,,,659,,,16,171314,48252
2022-02-28,"",,,,,744,,,16,205780,69964
2022-03-01,"",,,,,990,,,16,238377,93025
2022-03-02,"",,,,,1168,,,16,293730,114013
2022-03-03,"",,,,,1366,,,16,350557,134177
2022-03-04,"",,,,,1554,,,60,403080,154336
2022-03-05,"",,,,,1774,,,61,440609,184390
2022-03-06,"",,,,,2007,,,61,471617,193183
2022-03-07,"",,,,,2287,,,68,496767,204428
2022-03-08,"",,,,,2578,,,69,525242,214704
2022-03-09,"",,,,,2869,,,68,551233,219174
2022-03-10,"",,,,,3150,,,71,575623,226186
2022-03-11,"",,,,,3444,,,76,594511,236679
2022-03-12,"",,,,,3729,,,85,610300,248537
2022-03-13,"",,,,,3993,,,101,623635,267632
2022-03-14,"",,,,,4279,,,104,635675,282500
2022-03-15,"",,,,,4568,,,111,647631,298309
2022-03-16,"",,,,,4847,,,119,662085,313127
2022-03-17,"",,,,,5136,,,119,670713,326149
2022-03-18,"",,,,,5401,,,115,678679,338265
2022-03-19,"",,,,,5650,,,119,686207,347334
2022-03-20,"",,,,,5896,,,115,692083,355607
2022-03-21,"",,,,,6119,,,117,696606,365152
2022-03-22,"",,,,,6364,,,114,700902,375008
2022-03-23,"",,,,,6569,,,103,705152,382998
2022-03-24,"",,,,,6770,,,108,710884,390340
2022-03-25,"",,,,,6962,,,105,715462,396167
2022-03-26,"",,,,,7101,,,105,719346,401124
2022-03-27,"",,,,,7252,,,110,722901,405606
2022-03-28,"",,,,,7420,,,108,726128,410064
2022-03-29,"",,,,,7571,,,97,729292,414496
2022-03-30,"",,,,,7706,,,89,732286,418483
2022-03-31,"",,,,,7825,,,84,735145,422270
2022-04-01,"",,,,,7945,,,79,737888,425350
2022-04-02,"",,,,,8061,,,79,740174,427539
2022-04-03,"",,,,,8172,,,78,742006,429416
2022-04-04,"",,,,,8262,,,75,743595,430965
2022-04-05,"",,,,,8349,,,71,745253,432561
2022-04-06,"",,,,,8460,,,74,746742,433849
2022-04-07,"",,,,,8557,,,75,748110,435125
2022-04-08,"",,,,,8643,,,69,749337,436390
2022-04-09,"",,,,,8705,,,66,750234,438028
2022-04-10,"",,,,,8770,,,62,751122,439061
2022-04-11,"",,,,,8827,,,60,751820,439770
2022-04-12,"",,,,,8886,,,58,752555,440468
2022-04-13,"",,,,,8948,,,54,753289,441006
2022-04-14,"",,,,,9002,,,58,753868,441470
2022-04-15,"",,,,,9069,,,56,754339,441945
2022-04-16,"",,,,,9110,,,52,754788,442290
2022-04-17,"",,,,,9139,,,51,755234,442591
2022-04-18,"",,,,,9159,,,49,755550,442888
2022-04-19,"",,,,,9176,,,50,755870,443168
2022-04-20,"",,,,,9186,,,17,756200,443506
2022-04-21,"",,,,,9212,,,19,756517,443817
2022-04-22,"",,,,,9227,,,19,756807,444101
2022-04-23,"",,,,,9236,,,16,757059,444372
2022-04-24,"",,,,,9249,,,16,757280,444580
2022-04-25,"",,,,,9267,,,16,757522,444769
2022-04-26,"",,,,,9274,58804,,16,757727,444911
2022-04-27,"",,,,,9282,59015,,16,757949,445119
2022-04-28,"",,,,,9287,59173,,11,758155,445326
2022-04-29,"",,,,,9298,59316,,8,758351,445496
2022-04-30,"",,,,,9308,59504,,5,758541,445669
2022-05-01,"",,,,,9313,59661,,5,758660,445850
2022-05-02,"",,,,,9318,59716,,6,758780,446013
2022-05-03,"",,,,,9325,59758,,7,758912,446171
2022-05-04,"",,,,,9328,59864,,7,759024,446372
2022-05-05,"",,,,,9333,59963,,4,759172,446545
2022-05-06,"",,,,,9344,60323,,2,759316,446725
2022-05-07,"",,,,,9344,60483,,2,759431,446888
2022-05-08,"",,,,,9346,60600,,2,759543,447042
2022-05-09,"",,,,,9347,60636,,2,759663,447155
2022-05-10,"",,,,,9352,60718,,4,759801,447290
2022-05-11,"",,,,,9355,60841,,3,759932,447439
2022-05-12,"",,,,,9356,60972,,2,760047,447618
2022-05-13,"",,,,,9359,61067,,0,760173,447790
2022-05-14,"",,,,,9360,61157,,1,760289,447958
2022-05-15,"",,,,,9361,61238,,1,760402,448104
2022-05-16,"",,,,,9361,61277,,2,760515,448225
2022-05-17,"",,,,,9361,61380,,2,760681,448387
2022-05-18,"",,,,,9365,61490,,3,760808,448589
2022-05-19,"",,,,,9366,61602,,4,760924,448764
2022-05-20,"",,,,,9370,61702,,3,761025,448906
2022-05-21,"",,,,,9370,61842,,3,761128,449031
2022-05-22,"",,,,,9370,61899,,3,761222,449174
2022-05-23,"",,,,,9370,61925,,3,761316,449270
2022-05-24,"",,,,,9370,61988,,3,761405,449431
2022-05-25,"",,,,,9372,62061,,2,761509,449578
2022-05-26,"",,,,,9374,62098,,5,761620,449718
2022-05-27,"",,,,,9375,62129,,7,761725,449863
2022-05-28,"",,,,,9376,62163,,5,761841,450017
2022-05-29,"",,,,,9376,62174,,4,761949,450146
2022-05-30,"",,,,,9378,62200,,4,762074,450296
2022-05-31,"",,,,,9378,62255,,5,762188,450511
2022-06-01,"",,,,,9379,62317,,5,762339,450865
2022-06-02,"",,,,,9380,62381,,7,762509,451184
2022-06-03,"",,,,,9382,62437,,6,762708,451484
2022-06-04,"",,,,,9382,62485,,6,762884,451754
2022-06-05,"",,,,,9386,62510,,5,763020,452133
2022-06-06,"",,,,,9386,62526,,6,763231,452465
2022-06-07,"",,,,,9389,62575,,6,763462,452473
2022-06-08,"",,,,,9389,62644,,4,763719,452509
2022-06-09,"",,,,,9390,62691,,3,764051,452791
2022-06-10,"",,,,,9390,62751,,3,764342,453168
2022-06-11,"",,,,,9390,62810,,3,764702,453659
2022-06-12,"",,,,,9390,62861,,3,765066,454109
2022-06-13,"",,,,,9390,62896,,3,765371,454541
2022-06-14,"",,,,,9391,62950,,2,765790,454971
2022-06-15,"",,,,,9392,63002,,4,766319,455489
2022-06-16,"",,,,,9392,63056,,3,766805,456182
2022-06-17,"",,,,,9393,63122,,3,767290,456842
2022-06-18,"",,,,,9393,63191,,3,767819,457589
2022-06-19,"",,,,,9395,63224,,2,768318,458366
2022-06-20,"",,,,,9396,63253,,3,768867,459144
2022-06-21,"",,,,,9396,63312,,2,769394,459815
2022-06-22,"",,,,,9397,63399,,3,770078,460578
2022-06-23,"",,,,,9398,63466,,3,770730,461576
2022-06-24,"",,,,,9398,63527,,2,771444,462722
2022-06-25,"",,,,,9398,63620,,3,772157,463803
2022-06-26,"",,,,,9398,63682,,3,772880,464997
2022-06-27,"",,,,,9398,63734,,3,773610,466140
2022-06-28,"",,,,,9399,63798,,3,774332,467103
2022-06-29,"",,,,,9399,63877,,3,775236,468203
2022-06-30,"",,,,,9401,63964,,3,776182,469615
2022-07-01,"",,,,,9402,64069,,3,777071,471044
2022-07-02,"",,,,,9405,64131,,3,777911,472431
2022-07-03,"",,,,,9405,64171,,2,778454,473716
2022-07-04,"",,,,,9405,64265,,3,778913,475098
2022-07-05,"",,,,,9405,64356,,1,779826,476453
2022-07-06,"",,,,,9406,64471,,2,780965,478129
2022-07-07,"",,,,,9407,64590,,1,782062,480060
2022-07-08,"",,,,,9410,64707,,3,783216,481851
2022-07-09,"",,,,,9410,64819,,4,784488,483574
2022-07-10,"",,,,,9412,64919,,5,785877,485177
2022-07-11,"",,,,,9419,65009,,5,787142,486775
2022-07-12,"",,,,,9420,65117,,5,788445,488241
2022-07-13,"",,,,,9422,65222,,9,790024,489816
2022-07-14,"",,,,,9427,65331,,8,791640,491874
2022-07-15,"",,,,,9432,65450,,7,793189,493899
2022-07-16,"",,,,,9433,65580,,4,794811,496039
2022-07-17,"",,,,,9437,65702,,5,796285,498051
2022-07-18,"",,,,,9440,65794,,4,797687,500085
2022-07-19,"",,,,,9444,65927,,7,799128,501900
2022-07-20,"",,,,,9445,66051,,5,800794,504039
2022-07-21,"",,,,,9448,66187,,5,802577,506631
2022-07-22,"",,,,,9454,66336,,2,804258,509220
2022-07-23,"",,,,,9461,66506,,5,805840,511903
2022-07-24,"",,,,,9469,66625,,3,807572,514421
2022-07-25,"",,,,,9472,66748,,2,809214,516909
2022-07-26,"",,,,,9478,66894,,7,811091,519308
2022-07-27,"",,,,,9488,67090,,8,813057,521850
2022-07-28,"",,,,,9493,67090,,6,815065,524728
2022-07-29,"",,,,,9498,67427,,10,816977,527700
2022-07-30,"",,,,,9502,67573,,9,818703,530657
2022-07-31,"",,,,,9503,67730,,12,820453,533541
2022-08-01,"",,,,,9509,67853,,11,822152,536096
2022-08-02,"",,,,,9520,68002,,6,823801,538570
2022-08-03,"",,,,,9524,68188,,6,825717,541201
2022-08-04,"",,,,,9527,68399,,7,827651,544287
2022-08-05,"",,,,,9531,68618,,8,829251,547115
2022-08-06,"",,,,,9535,68847,,7,830966,550002
2022-08-07,"",,,,,9540,69018,,7,832590,552652
2022-08-08,"",,,,,9547,69145,,7,834224,555058
2022-08-09,"",,,,,9550,69309,,8,835893,557434
2022-08-10,"",,,,,9554,69555,,6,837821,560099
2022-08-11,"",,,,,9555,69755,,7,839290,563006
2022-08-12,"",,,,,9559,69952,,9,840746,565989
2022-08-13,"",,,,,9562,70148,,11,842717,569326
2022-08-14,"",,,,,9565,70301,,10,844446,572576
2022-08-15,"",,,,,9569,70439,,9,846205,575713
2022-08-16,"",,,,,9580,70639,,9,848185,578895
2022-08-17,"",,,,,9584,70870,,10,850525,582312
2022-07-18,"",,,,,9589,71144,,9,852921,585970
